month,Total Deaths,Normalized Deaths
January 2020–2025,302.0,0.31868131868131866
February 2020–2025,294.0,0.27472527472527475
March 2020–2025,426.0,1.0
April 2020–2025,328.0,0.46153846153846156
May 2020–2025,372.0,0.7032967032967034
June 2020–2025,411.0,0.9175824175824175
July 2020–2025,315.0,0.3901098901098901
August 2020–2025,333.0,0.489010989010989
September 2020–2025,279.0,0.19230769230769232
October 2020–2025,261.0,0.09340659340659341
November 2020–2025,244.0,0.0
December 2020–2025,305.0,0.33516483516483514
